sku,price,brand,style,brand style
130-11A-1074,$49.99 ,Adidas,a3 SS Structure NBA,Adidas a3 SS Structure NBA
44-2B-1535,$39.99 ,Adidas,Acorch3 Mid Trx,Adidas Acorch3 Mid Trx
46-3B-1168,$49.99 ,Adidas,ADI Racer Trefoil,Adidas ADI Racer Trefoil
05-1C-1960,$49.99 ,Adidas,adisStar MD 05,Adidas adisStar MD 05
22-1A-2152,$24.99 ,Adidas,Adistar 3 Md,Adidas Adistar 3 Md
28-1A-2000,$24.99 ,Adidas,Adistar 4 St,Adidas Adistar 4 St
23784,$62.99 ,Adidas,adiStar CTL 4,Adidas adiStar CTL 4
52-7A-1214,$12.99 ,Adidas,adiStar LD 05,Adidas adiStar LD 05
45-8B-1075,$34.99 ,Adidas,Adistar MD,Adidas Adistar MD
23653,$62.99 ,Adidas,adiStar Ride 2,Adidas adiStar Ride 2
106-7C-1140,$49.99 ,Adidas,adiStar Sprint,Adidas adiStar Sprint
54-2C-1193,$49.99 ,Adidas,Aditennis,Adidas Aditennis
23-4A-2075,$49.99 ,Adidas,Aditennis Gruen,Adidas Aditennis Gruen
106-7C-1135,$49.99 ,Adidas,Aditennis Hi,Adidas Aditennis Hi
106-7C-1138,$49.99 ,Adidas,Aditennis Lux,Adidas Aditennis Lux
23584,$62.99 ,Adidas,Adizero Sonic ,Adidas Adizero Sonic 
23469,$62.99 ,Adidas,Adizero Sonic M,Adidas Adizero Sonic M
134-5B-1023,$49.99 ,Adidas,Adizero TJ,Adidas Adizero TJ
27066,$29.99 ,Adidas,Adria Low Sleek,Adidas Adria Low Sleek
27035,$32.99 ,Adidas,Adria Mid Sleek,Adidas Adria Mid Sleek
132-6C-1062,$99.99 ,Adidas,Americana Lo Lux,Adidas Americana Lo Lux
03-3A-2123,$49.99 ,Adidas,Americana Lo NBA,Adidas Americana Lo NBA
22-6C-1697,$49.99 ,Adidas,Americana Mid,Adidas Americana Mid
102-4A-1108,$49.99 ,Adidas,Americana Vulc Lo,Adidas Americana Vulc Lo
32-4C-2102,$32.99 ,Adidas,AST Decade GCS NBA,Adidas AST Decade GCS NBA
117-10A-1030,$24.99 ,Adidas,AST Diamond King TP,Adidas AST Diamond King TP
105-3B-1083,$49.99 ,Adidas,AST NBA Bounce Artillery,Adidas AST NBA Bounce Artillery
134-1B-1087,$19.99 ,Adidas,AST NCAA KG Bounce,Adidas AST NCAA KG Bounce
05-4C-1612,$49.99 ,Adidas,AST TS Creator Low Arenas,Adidas AST TS Creator Low Arenas
03-3A-2115,$49.99 ,Adidas,AST TS Lightning Creator L,Adidas AST TS Lightning Creator L
