sku,url,price,identifier,name
44048,http://www.shoemetro.com/p-269391-adidas-superstar-ii-ps-mens.aspx,49.99,,Adidas Superstar II PS - Mens
44048,http://www.shoemetro.com/p-268539-adidas-superstar-ii-mens.aspx,31.99,,Adidas SuperStar II - Mens
44048,http://www.shoemetro.com/p-268323-adidas-superstar-2-mens.aspx,36.99,,Adidas Superstar 2 - Mens
44048,http://www.shoemetro.com/p-283555-adidas-superstar-ii-mens.aspx,64.99,,Adidas Superstar II - Mens
44048,http://www.shoemetro.com/p-268353-adidas-superstar-ii-mens.aspx,39.99,,Adidas Superstar II - Mens
131-5c-1059,http://www.shoemetro.com/p-269285-adidas-tennis-adv-mens.aspx,36.99,,Adidas Tennis Adv - Mens
45-8b-1067,http://www.shoemetro.com/p-263697-adidas-team-d-hi-promo-mens.aspx,24.99,,Adidas Team D Hi Promo - Mens
45-8b-1073,http://www.shoemetro.com/p-264536-adidas-team-d-lo-mens.aspx,39.99,,Adidas Team D Lo - Mens
52-4c-1316,http://www.shoemetro.com/p-269306-adidas-top-ten-lo-mens.aspx,49.99,,Adidas Top Ten Lo - Mens
45-8b-1073,http://www.shoemetro.com/p-263437-adidas-team-d-lo-mens.aspx,24.99,,Adidas Team D Lo - Mens
22-1a-2149,http://www.shoemetro.com/p-263291-adidas-team-lo-wt-mens.aspx,24.99,,Adidas Team Lo Wt - Mens
131-4c-1037,http://www.shoemetro.com/p-269208-adidas-top-vuelo-cc-indoor-sports-shoes-white-womens.aspx,49.99,,Adidas Top Vuelo CC Indoor Sports Shoes White Womens
52-4c-1316,http://www.shoemetro.com/p-268689-adidas-top-ten-lo-mens.aspx,31.99,,Adidas Top Ten Lo - Mens
134-4c-1011,http://www.shoemetro.com/p-268638-adidas-ts-bounce-commander-team-mens.aspx,49.99,,Adidas Ts Bounce Commander Team - Mens
49-9b-1394,http://www.shoemetro.com/p-268299-adidas-ts-pro-model-team-w-basketball-shoes-white.aspx,49.99,,Adidas TS Pro Model Team W Basketball Shoes White
129-9c-1112,http://www.shoemetro.com/p-269618-adidas-ts-lightspeed-mens.aspx,30.99,,Adidas TS Lightspeed - Mens
129-9c-1112,http://www.shoemetro.com/p-268259-adidas-ts-lightspeed-mens.aspx,44.99,,Adidas TS Lightspeed - Mens
48-3a-1410,http://www.shoemetro.com/p-268477-adidas-vintage-set-mens.aspx,31.99,,Adidas Vintage Set - Mens
46-3b-1167,http://www.shoemetro.com/p-269135-adidas-ultrastar-sneakers-shoes-black-mens.aspx,49.99,,Adidas Ultrastar Sneakers Shoes Black Mens
46-3b-1167,http://www.shoemetro.com/p-268699-adidas-ultrastar-mens.aspx,31.99,,Adidas Ultrastar - Mens
50-1c-1039,http://www.shoemetro.com/p-283701-adidas-zx-500-mens.aspx,39.99,,Adidas ZX 500 - Mens
136-9a-1050,http://www.shoemetro.com/p-268221-adidas-zx-800-sneakers-shoes-pink-mens.aspx,49.99,,Adidas ZX 800 Sneakers Shoes Pink Mens
105-6c-1127,http://www.shoemetro.com/p-269320-adidas-zx-700-mens.aspx,44.99,,Adidas ZX 700 - Mens
80164,http://www.shoemetro.com/p-311532-aerosoles-caramel-womens.aspx,30.99,,Aerosoles Caramel - Womens
4431,http://www.shoemetro.com/p-280394-aerosoles-chlambake-womens.aspx,47.99,,Aerosoles Chlambake - Womens Size - 10
43-10a-1407,http://www.shoemetro.com/p-308122-aerosoles-blue-gene-wide-womens.aspx,39.99,,Aerosoles Blue Gene Wide - Womens
4431,http://www.shoemetro.com/p-280395-aerosoles-chlambake-womens.aspx,47.99,,Aerosoles Chlambake - Womens
43-10a-1407,http://www.shoemetro.com/p-311025-aerosoles-blue-gene-womens.aspx,42.99,,Aerosoles Blue Gene - Womens
52-7b-1156,http://www.shoemetro.com/p-240486-aerosoles-cinch-mate-womens.aspx,32.99,,Aerosoles Cinch Mate - Womens
120-9b-1032,http://www.shoemetro.com/p-291567-aerosoles-bec-2-differ-womens.aspx,44.99,,Aerosoles Bec 2 Differ - Womens
29758,http://www.shoemetro.com/p-283865-aerosoles-cinchshearly-womens.aspx,19.99,,Aerosoles Cinchshearly - Womens
47-2a-1107,http://www.shoemetro.com/p-311471-aerosoles-cinchronize-womens.aspx,29.99,,Aerosoles Cinchronize - Womens
25-2a-1928,http://www.shoemetro.com/p-308318-aerosoles-cinchuation-womens.aspx,59.99,,Aerosoles Cinchuation - Womens
47-7b-1408,http://www.shoemetro.com/p-268622-aerosoles-country-sub-womens.aspx,31.99,,Aerosoles Country Sub - Womens
46776,http://www.shoemetro.com/p-287682-aerosoles-cinchspiration-womens.aspx,20.99,,Aerosoles Cinchspiration - Womens
43081,http://www.shoemetro.com/p-287797-aerosoles-ecstatic-womens.aspx,28.99,,Aerosoles Ecstatic - Womens
43081,http://www.shoemetro.com/p-287798-aerosoles-ecstatic-womens.aspx,30.99,,Aerosoles Ecstatic - Womens
15-3c-1739,http://www.shoemetro.com/p-273019-aerosoles-flagstone-womens.aspx,14.99,,Aerosoles Flagstone - Womens
121-2b-1115,http://www.shoemetro.com/p-263791-aerosoles-ginyard-womens.aspx,67.99,,Aerosoles GINYARD - Womens
51250,http://www.shoemetro.com/p-292318-aerosoles-lancelot-womens.aspx,23.99,,Aerosoles Lancelot - Womens
03-1b-2212,http://www.shoemetro.com/p-261122-aerosoles-last-dance-womens.aspx,37.99,,Aerosoles Last Dance - Womens
25-2a-1920,http://www.shoemetro.com/p-186324-aerosoles-infamous-womens.aspx,45.99,,Aerosoles Infamous - Womens Size - 5.5
03-1b-2212,http://www.shoemetro.com/p-261013-aerosoles-last-dance-womens.aspx,40.99,,Aerosoles Last Dance - Womens Size - 6
52-4a-1116,http://www.shoemetro.com/p-264937-aerosoles-mezzotint-womens.aspx,48.99,,Aerosoles Mezzotint - Womens
47218,http://www.shoemetro.com/p-291568-aerosoles-nu-day-womens.aspx,58.99,,Aerosoles Nu Day - Womens Size - 11
44-2a-1382,http://www.shoemetro.com/p-273800-aerosoles-motorcade-womens.aspx,35.99,,Aerosoles Motorcade - Womens
97720,http://www.shoemetro.com/p-310235-aerosoles-plush-around-womens.aspx,49.99,,Aerosoles Plush Around - Womens
81814,http://www.shoemetro.com/p-288187-aerosoles-on-deck-womens.aspx,18.99,,Aerosoles On Deck - Womens
97720,http://www.shoemetro.com/p-310229-aerosoles-plush-around-wide-womens.aspx,49.99,,Aerosoles Plush Around Wide - Womens
83770,http://www.shoemetro.com/p-308790-aerosoles-raspberry-womens.aspx,29.99,,Aerosoles Raspberry - Womens
