category,phone_type,description_headers,tags,phone,company_name,address,short_description,description_paragraphs,gen_description,company_site_url
Vikarbureauer,,,,31 31 41 39,B &amp; A Service I/S,"C. T. Barfoeds Vej 4, st. th., 2000 Frederiksberg",Not specified,,,http://www.baservice.dk
Vikarbureauer,,,,55 73 88 70,JS Vikar-Dansk Vikarbureau,"Skovkanten 136, 4700 Næstved",Not specified,,,http://www.js-vikar.dk
Vikarbureauer,,,,21 66 54 15,U.W. Service v/ Ulla Weishaupt,"Lille Strandgårdsvej 4, 2690 Karlslunde",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"86 12 95 88,86 18 52 40,


    ,
                            ",Randstad,"Frederiksgade 1, 8000 Aarhus C",Not specified,,,http://www.randstad.dk
Vikarbureauer,Mobil,,,"98 55 71 02,28 55 06 59,98 55 71 02",KM Projob ApS,"Døstrupvej 108, Døstrup, 9500 Hobro",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"96 35 07 50,96 35 07 51",JKS A/S,"Østerågade 6, 1. sal., 9000 Aalborg",Not specified,,,http://www.jks.dk
Vikarbureauer,Mobil,,,"21 76 66 31,25 54 51 13,25 70 71 13,33 31 31 18",ElementsCph v/ Rasmus Riel List Nielsen,"Mosede Klintvej 29, 2670 Greve",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"76 32 66 66,76 32 66 61",Kelly Services,"Jernbanegade 5, 2. sal., 6000 Kolding",Not specified,,,http://www.kellyservices.dk
Vikarbureauer,,,,,F-Consult S.M.B.A.,"Solvangsvej 12, 2600 Glostrup",Not specified,,,Company site unknown
Vikarbureauer,,,,23 23 17 64,N. L. Vikarservice v/ Nikolaj Laursen,"Søndervang 27, Mammen, 8850 Bjerringbro",Not specified,,,Company site unknown
Vikarbureauer,,,,30 78 35 71,Egebo,"Tjørneparken 2, Svinninge, 4572 Nørre Asmindrup",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"63 12 80 00,63 12 80 01,


    ,
                            ",ActivCare A/S,"Rugårdsvej 20, 5000 Odense C",Not specified,,,http://www.activcare.dk
Vikarbureauer,,,,,Dansk Magna Service ApS,"Knud Bro Alle 5 F, 3660 Stenløse",Not specified,,,Company site unknown
Vikarbureauer,Mobil,,,"70 29 40 50,40 62 39 50,40 63 71 82,40 63 71 83",Konsulenthuset Ballisager A/S,"Søren Frichs Vej 3, 3. sal., 8000 Aarhus C",Not specified,,,http://www.ballisager.com
Vikarbureauer,,,,36 41 62 00,Rip I af 25 Februar 2009 ApS,"Hvidovrevej 80 C, 2610 Rødovre",Not specified,,,Company site unknown
Vikarbureauer,,,,51 49 09 99,X-Ray ApS,"Risdalsvej 2 A, 8260 Viby J",Not specified,,,Company site unknown
Vikarbureauer,,,,,Institut For Karriereudvikling A/S,"Holgersgade 1, 1. sal., 7900 Nykøbing M",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"45 93 03 03,45 93 32 03",Alliance Personaleløsninger AS,"Parallelvej 10, 2800 Kgs. Lyngby",Not specified,,,http://www.alliancepersonale.dk
Vikarbureauer,,,,61 86 36 67,MPX Service,"Irisvej 23, 7400 Herning",Not specified,,,Company site unknown
Vikarbureauer,"
E-mail                                ",,,"20 43 45 43,


    ,
                            ",Elite Rekruttering Martin Broesbøl,"Agerbæksvej 7 B, 8240 Risskov",Not specified,,,http://www.eliterekruttering.dk
Vikarbureauer,Tlf.,,,"35 10 63 63,61 77 63 63,61 77 63 63",mv vikar v/ Mikael Ib Vinberg,"Sommersvej 20, 3400 Hillerød",Not specified,,,Company site unknown
Vikarbureauer,,,,,Henrik Jørgensen,"Gardeniavej 2, 2970 Hørsholm",Not specified,,,Company site unknown
Vikarbureauer,Mobil,,,"61 69 55 01,30 55 55 05",D. S. A. Teknik &amp; Support,"Boholtevej 51, 4600 Køge",Not specified,,,Company site unknown
Vikarbureauer,,,,23 20 76 96,LC Vikar,"Silkeborgvej 30, 4200 Slagelse",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"70 10 33 35,70 10 33 25",Job Vision A/S Aars,"Messevej 1, 9600 Aars",Not specified,,,Company site unknown
Vikarbureauer,Mobil,,,"59 26 53 59,23 27 46 22,29 78 79 00,31 79 45 55",3 S ApS,"Rugvænget 18, 4520 Svinninge",Not specified,,,Company site unknown
Vikarbureauer,Mobil,,,"42 44 00 12,31 45 80 11",Ekstramandskab.Dk ApS,"Hauser Plads 32, 1127 København K",Not specified,,,Company site unknown
Vikarbureauer,,,,75 72 10 15,Job-Center,"Sverigesvej 2, 7100 Vejle",Not specified,,,Company site unknown
Vikarbureauer,,,,51 31 98 35,Dansk Service og Rekruttering smba,"Enghave Plads 17, 1670 København V",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"52 17 46 76,66 11 13 18",Assistin ApS,"Langelinie 69, 5230 Odense M",Not specified,,,Company site unknown
Vikarbureauer,,,,,Trio Boligudlejning ApS,"Sattrupvej 2, Sattrup, 8752 Østbirk",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"97 21 69 21,76 14 09 40",Temp-Team A/S,"Nørregade 14, 6700 Esbjerg",Not specified,,,http://www.temp-team.dk
Vikarbureauer,Mobil,,,"20 27 81 86,20 27 81 86,22 40 74 10",Job40Plus v/ Hanne Johnsen,"Jyllandsgade 26, 4100 Ringsted",Not specified,,,Company site unknown
Vikarbureauer,Tlf.,,,"60 78 62 73,46 13 67 05,22 37 52 37",Tune Demo Service v/ Gitte Kristiansen,"Bondestien 1, 4030 Tune",Not specified,,,Company site unknown
Vikarbureauer,,,,70 21 02 11,Egebo 1,"Holbækvej 11, 4200 Slagelse",Not specified,,,Company site unknown
Vikarbureauer,Mobil,,,"70 27 76 60,23 70 71 71,70 27 76 61",PV af 2007 ApS,"Rolfsgade 4, 8260 Viby J",Not specified,,,http://www.profilvikar.dk
Vikarbureauer,Mobil,,,"97 25 17 10,20 70 40 03",Vikarservice,"Thygesensvej 34, 7430 Ikast",Not specified,,,Company site unknown
Vikarbureauer,,,,70 20 88 82,Capacent - Institut for Karriereudvikling - Næstvedafdelingen,"Elverhøjsvej 16, 4700 Næstved",Not specified,,,Company site unknown
